week_start,cases,temp_c,rh_pct,rain_mm,wind10_kmh,soil_moisture_top_m3m3
6/1/2020,866,28.68690476,55.0952381,33.1,9.62797619,0.045440476
6/8/2020,331,25.18333333,75.30952381,65.2,8.666666667,0.151660714
6/15/2020,303,25.46607143,74.05357143,29.8,8.769047619,0.143571429
6/22/2020,289,26.08630952,68.85119048,19.9,8.528571429,0.074744048
6/29/2020,944,28.86071429,49.27380952,11.1,10.6875,0.034184524
7/6/2020,"1,860",25.17380952,73.26190476,50.9,8.658333333,0.13035119
7/13/2020,"1,926",24.21547619,76.0952381,37.6,7.623214286,0.107529762
7/20/2020,"3,975",24.20357143,77.77380952,66.4,8.095238095,0.148755952
7/27/2020,"4,101",25.1625,74.47619048,37.8,9.011309524,0.155720238
8/3/2020,"4,889",25.20595238,67.14880952,56.8,8.130357143,0.10910119
8/10/2020,"7,423",26.07202381,69.33928571,4.3,8.304761905,0.087738095
8/17/2020,"9,717",27.38511905,58.25,11.4,12.68571429,0.092910714
8/24/2020,"9,984",27.56607143,57.14285714,9.2,9.243452381,0.039077381
8/31/2020,"9,778",27.33095238,57.20833333,12.9,9.735714286,0.051869048
9/7/2020,"7,696",26.79821429,61.375,28,10.35535714,0.106035714
9/14/2020,"7,784",30.08392857,43.97619048,1.6,11.01309524,0.029880952
9/21/2020,"7,973",26.81011905,65.82738095,52,8.436904762,0.085857143
9/28/2020,"2,544",25.58690476,75.54166667,20.7,7.921428571,0.138494048
10/5/2020,"1,394",28.32380952,51.95238095,6.2,9.097619048,0.038946429
10/12/2020,"1,785",26.49047619,66.54166667,21.1,8.619642857,0.057136905
10/19/2020,"3,690",27.8625,59.63095238,8,9.46547619,0.050416667
10/26/2020,"3,460",28.54583333,51.9047619,3.7,15.94761905,0.030857143
11/2/2020,"4,310",28.49285714,53.60119048,11.2,18.99345238,0.044065476
11/9/2020,"4,315",25.97440476,68.29166667,27.6,9.755952381,0.111160714
11/16/2020,"3,762",29.57321429,42.61904762,1.6,13.80535714,0.029095238
11/23/2020,"2,685",29.06309524,49.57738095,5.2,12.73809524,0.038321429
11/30/2020,"3,009",27.34464286,55.92857143,0.8,9.80952381,0.049827381
12/7/2020,"2,827",28.29702381,45.8452381,3.8,12.73511905,0.047166667
12/14/2020,"2,476",28.67857143,32.38095238,0,13.76666667,0.028071429
12/21/2020,"2,088",29.42857143,36.26190476,0,14.0922619,0.028285714
12/28/2020,"1,500",28.375,45.375,4.6,14.66071429,0.031244048
1/4/2021,"1,433",29.42142857,32.99404762,0.2,12.84107143,0.02797619
1/11/2021,"1,361",29.7922619,30.70833333,0.5,12.41428571,0.026863095
1/18/2021,"1,022",30.51428571,31.63095238,0.1,14.90833333,0.026196429
1/25/2021,962,30.27202381,30.76785714,0,16.26607143,0.023654762
2/1/2021,704,30.30297619,25.5297619,0,14.4547619,0.019869048
2/8/2021,533,31.16190476,32.01785714,0.1,13.16547619,0.01785119
2/15/2021,308,30.98333333,29.06547619,0,13.36011905,0.011089286
2/22/2021,345,30.43392857,33.11904762,0,11.20357143,0.006160714
3/1/2021,237,32.23035714,28.8452381,0,18.50357143,0.001636905
3/8/2021,185,31.38988095,31.92261905,0,18.58571429,0.003505952
3/15/2021,217,30.4547619,42.07738095,7.6,18.3547619,0.015410714
3/22/2021,145,31.35595238,31.1547619,0,16.95892857,0.025553571
3/29/2021,187,30.44047619,42.32738095,5.2,11.91488095,0.026791667
4/5/2021,187,30.16964286,46.72619048,3.9,14.37202381,0.027660714
4/12/2021,133,29.65238095,49.11904762,4.8,12.94702381,0.034821429
4/19/2021,231,29.33690476,52.61309524,16.7,16.64464286,0.035363095
4/26/2021,592,27.45059524,62.76785714,16.9,10.83809524,0.075113095
5/3/2021,542,26.24404762,69.61904762,82.9,7.883333333,0.10864881
5/10/2021,418,25.13809524,75.33928571,17.4,7.992857143,0.182220238
5/17/2021,603,29.48571429,48.35714286,0.6,10.37202381,0.03285119
5/24/2021,"1,145",29.4375,43.08333333,1.4,15.20892857,0.029303571
5/31/2021,"2,127",29.81190476,39.02380952,0.1,16.75892857,0.028357143
6/7/2021,776,29.45357143,39.13095238,0,18.86666667,0.027958333
6/14/2021,"1,516",29.27738095,42.25595238,0.4,11.45059524,0.02847619
6/21/2021,"1,168",28.63035714,38.83928571,0,16.86428571,0.028113095
6/28/2021,907,28.79285714,40.91071429,1.4,12.88511905,0.028744048
7/5/2021,736,27.0672619,51.875,5.4,11.66547619,0.031130952
7/12/2021,"1,326",26.89345238,55.29166667,6.2,8.898214286,0.036154762
7/19/2021,"1,558",26.08511905,59.14285714,11.8,10.06547619,0.055833333
7/26/2021,"2,476",27.18928571,47.32738095,0.1,12.33154762,0.039446429
8/2/2021,"4,335",29.03928571,37.05952381,0,17.23392857,0.024535714
8/9/2021,"4,199",26.84821429,59.875,21.7,9.455952381,0.064625
8/16/2021,"6,463",29.23095238,41.20238095,1.1,13.6375,0.027869048
8/23/2021,"4,776",30.03392857,34.74404762,0.3,13.78511905,0.023172619
8/30/2021,"2,073",30.01547619,41.42857143,1.3,12.61666667,0.027755952
9/6/2021,"2,208",29.13095238,42.79166667,1.3,13.83511905,0.01752381
9/13/2021,"1,539",29.00416667,49.29166667,11.5,11.56964286,0.029595238
9/20/2021,"1,304",28.52559524,50.77380952,4,12.06964286,0.046970238
9/27/2021,"1,733",30.05833333,44.42857143,0.7,11.2327381,0.02739881
10/4/2021,"1,430",30.34047619,42.93452381,1.4,10.22321429,0.028744048
10/11/2021,"1,945",30.68571429,37.32142857,0,14.30059524,0.026470238
10/18/2021,"1,919",30.73869048,38.23809524,2,16.94880952,0.026732143
10/25/2021,"2,220",30.83630952,37.19642857,0.8,16.98214286,0.026172619
11/1/2021,"1,767",30.72083333,36.58333333,0.1,14.62261905,0.025821429
11/8/2021,940,30.14464286,40.83333333,2.8,17.02083333,0.023428571
11/15/2021,633,30.1625,39.52380952,1,14.63333333,0.028059524
11/22/2021,503,30.31666667,38.33333333,0.5,13.39583333,0.025178571
11/29/2021,327,29.1547619,45.24404762,0.2,19.95238095,0.008267857
12/6/2021,247,29.47916667,38.2202381,0,18.70595238,0.008845238
12/13/2021,239,29.87857143,40.08333333,0,17.84761905,0.01135119
12/20/2021,221,29.80297619,45.98809524,2.7,16.16071429,0.02472619
12/27/2021,307,30.02083333,34.36309524,0.1,14.3297619,0.023809524
1/3/2022,172,29.70119048,33.64285714,0.3,13.91547619,0.02347619
1/10/2022,147,30.99880952,30.06547619,0,16.79047619,0.007904762
1/17/2022,122,25.25416667,59.79166667,33,9.973214286,0.102678571
1/24/2022,143,29.64940476,27.55357143,0,14.38690476,0.022125
1/31/2022,146,30.32619048,29.08928571,0.1,11.22142857,0.018904762
2/7/2022,210,30.61785714,26.32142857,0,13.05714286,0.025684524
2/14/2022,180,31.33154762,30.03571429,0,9.677380952,0.028386905
2/21/2022,151,30.75714286,31.11309524,1.2,11.39821429,0.021404762
2/28/2022,134,31.63214286,28.82142857,0.2,17.94821429,0.025547619
3/7/2022,137,32.02440476,29.26190476,0,16.71785714,0.015791667
3/14/2022,89,31.91488095,31.29761905,0.5,12.1875,0.02725
3/21/2022,103,30.20297619,44.57738095,13.7,12.5875,0.038041667
3/28/2022,70,30.81904762,40.13690476,1.1,18.89345238,0.029083333
4/4/2022,47,32.15833333,32.51190476,0,20.74642857,0.021666667
4/11/2022,38,28.14047619,58.96428571,52.5,11.16547619,0.095470238
4/18/2022,83,26.50714286,70.42857143,41.6,9.692857143,0.075303571
4/25/2022,57,25.24404762,76.73809524,36.3,9.348809524,0.108303571
5/2/2022,45,28.52916667,54.88690476,17.6,11.98571429,0.046970238
5/9/2022,132,31.05357143,38.11309524,0,15.3672619,7.74E-05
5/16/2022,"1,003",30.46071429,38.68452381,0.7,14.78154762,0.000982143
5/23/2022,"1,827",27.84464286,55.67261905,10.5,9.682738095,0.03902381
5/30/2022,767,27.99345238,47.23809524,0.1,14.8375,0.036946429
6/6/2022,585,26.46845238,58.70833333,18.8,9.685714286,0.105035714
6/13/2022,644,29.20297619,38.72619048,0.9,12.70119048,0.028660714
6/20/2022,928,28.49880952,45.35714286,3.1,11.35119048,0.032172619
6/27/2022,"1,831",28.72797619,37.83928571,0,16.22380952,0.025619048
7/4/2022,"2,327",28.30654762,43.16666667,4,11.4875,0.030505952
7/11/2022,"1,925",28.57797619,41.94642857,1,15.09107143,0.029970238
7/18/2022,"1,184",28.89761905,38.76190476,0.1,17.18690476,0.028333333
7/25/2022,"1,989",28.39345238,43.63690476,1.8,16.16666667,0.030791667
8/1/2022,2118,25.13214286,65.2202381,57.2,11.83809524,0.123809524
8/8/2022,"1,967",28.33809524,45.01190476,1,12.12559524,0.029392857
8/15/2022,"2,261",26.48095238,62.05357143,11,11.11964286,0.062255952
8/22/2022,"4,038",28.41904762,42.45238095,7.1,13.40892857,0.033708333
8/29/2022,"4,152",29.14107143,41.55357143,1.2,13.06964286,0.025916667
9/5/2022,"3,611",26.43452381,61.17261905,22.5,10.93630952,0.094095238
9/12/2022,1579,29.22321429,40.66071429,0.4,15.71309524,0.026214286
9/19/2022,"3,276",29.98214286,34.29761905,0,15.36369048,0.023130952
9/26/2022,"3,800",30.10357143,33.83928571,0,16.13928571,0.019428571
10/3/2022,"3,024",29.74404762,39.08333333,1.3,14.10416667,0.018589286
10/10/2022,"1,925",30.46428571,34,0,16.51904762,0.013202381
10/17/2022,"1,189",30.28095238,39.58928571,0.9,15.8702381,0.026440476
10/24/2022,902,30.25833333,43.2797619,11.5,17.2625,0.026083333
10/31/2022,614,29.11666667,48.0297619,0.9,16.3702381,0.038696429
11/7/2022,429,29.79166667,42.29761905,3.5,17.66845238,0.02552381
11/14/2022,368,27.20833333,57.625,27.8,10.79404762,0.084488095
11/21/2022,313,29.46369048,43.45238095,6.4,17.08214286,0.005922619
11/28/2022,246,29.50416667,40.70833333,0.2,18.77797619,0.001803571
12/5/2022,491,27.76011905,53.70238095,20.1,12.28035714,0.045696429
12/12/2022,795,27.13511905,52.21428571,3.5,11.53333333,0.06035119
12/19/2022,424,28.48809524,41.35714286,1.8,10.90059524,0.042732143
12/26/2022,496,28.0922619,43.8452381,8.7,14.78869048,0.033309524
1/2/2023,654,29.00178571,34.39880952,0.1,18.9,0.026595238
1/9/2023,783,29.68392857,32.54166667,0.2,14.56130952,0.023470238
1/16/2023,"1,099",30,25.66071429,0,17.3797619,0.027380952
1/23/2023,952,30.45059524,27.95833333,0,17.74285714,0.028488095
1/30/2023,386,30.62380952,29.24404762,0,12.98154762,0.027595238
2/6/2023,321,30.93392857,26.22619048,0,15.97738095,0.02389881
2/13/2023,190,30.69464286,26.19642857,0,17.17142857,0.025958333
2/20/2023,99,31.45416667,26.77380952,0.1,18.80654762,0.013422619
2/27/2023,107,31.45892857,33.74404762,3.4,16.73988095,0.026827381
3/6/2023,85,31.7827381,32.96428571,0.6,16.65,0.021291667
3/13/2023,92,25.95595238,68.26785714,49.4,9.960714286,0.095113095
3/20/2023,85,25.01488095,72.27380952,46.9,10.17559524,0.135982143
3/27/2023,98,26.43809524,66.50595238,20.7,10.13809524,0.0695
4/3/2023,194,29.37678571,49.83928571,1.4,17.56547619,0.029196429
4/10/2023,"1,693",30.13452381,45.51190476,16.7,21.01785714,0.025565476
4/17/2023,"3,109",28.89345238,55.30952381,30.3,14.08333333,0.060035714
4/24/2023,"2,700",24.64404762,81.01785714,64.7,7.622619048,0.184732143
5/1/2023,"1,097",25.90714286,71.38690476,16.9,9.182142857,0.101892857
5/8/2023,864,30.05119048,44.61904762,0.6,13.09642857,0.02810119
5/15/2023,"2,380",31.48214286,37.94642857,0,13.75178571,0.026482143
5/22/2023,"7,409",30.32797619,42.66666667,2.5,17.86309524,0.030011905
5/29/2023,"6,761",30.21785714,37.92857143,0.1,16.67857143,0.027630952
6/5/2023,"3,255",30.13809524,40.58333333,10.9,12.65714286,0.035160714
6/12/2023,"2,159",29.4577381,47.45833333,1,11.44345238,0.03235119
6/19/2023,"1,865",29.44880952,45.19642857,15.6,11.87916667,0.03952381
6/26/2023,1077,29.23095238,47.03571429,0.7,13.01547619,0.033547619
7/3/2023,"1,446",29.08392857,40.02380952,0.9,15.44285714,0.026208333
7/10/2023,"1,819",29.83869048,37.19642857,0.4,14.89166667,0.019446429
7/17/2023,"2,299",29.04880952,44.35714286,0.1,13.65952381,0.032333333
7/24/2023,"2,075",29.37678571,45.21428571,2.4,13.11785714,0.029291667
7/31/2023,869,27.35357143,53.95833333,13.4,12.33154762,0.026910714
8/7/2023,720,30.03571429,36.61904762,0,14.23630952,0.002119048
8/14/2023,642,30.13035714,34.69047619,0,17.8422619,0.005625
8/21/2023,"1,472",30.43630952,33.42857143,0,16.78928571,0.001654762
8/28/2023,"1,339",30.6952381,35.26785714,0.1,14.79464286,0.000619048
9/4/2023,601,28.73988095,51.10714286,15.7,11.12083333,0.035297619
9/11/2023,435,29.66845238,46.70833333,2.9,10.36547619,0.027214286
9/18/2023,352,30.90238095,38.78571429,0.4,11.69047619,0.027119048
9/25/2023,354,31.32202381,37.58333333,0.2,13.76488095,0.026720238
10/2/2023,321,31.62261905,36.14880952,0,19.91071429,0.02664881
10/9/2023,292,31.07440476,41.56547619,1.5,14.30297619,0.020577381
10/16/2023,135,25.54107143,75.32738095,57.5,10.02440476,0.171589286
10/23/2023,123,27.47321429,60.60119048,35.2,12.85297619,0.061869048
10/30/2023,88,24.76785714,78.07142857,35.3,9.814285714,0.156845238
11/6/2023,245,27.09940476,62.27380952,5,14.58392857,0.075404762
11/13/2023,"1,430",27.26369048,63.94642857,28.6,14.12678571,0.069714286
11/20/2023,"4,145",28.49404762,53.52380952,30.7,15.84166667,0.037267857
11/27/2023,"4,749",28.4672619,48.44047619,0.7,12.50357143,0.059404762
12/4/2023,"4,356",29.86607143,39.20238095,1.3,12.86428571,0.027732143
12/11/2023,"3,428",29.08928571,48.58928571,19.1,12.00595238,0.040089286
12/18/2023,"2,477",30.28690476,38.45238095,0,16.28214286,0.026041667
12/25/2023,"1,941",29.21666667,50.13690476,10.3,12.60952381,0.056017857
1/1/2024,"1,792",28.19880952,53.67261905,1.9,8.899404762,0.06964881
1/8/2024,"1,172",31.14404762,31.75595238,0.1,10.71488095,0.026083333
1/15/2024,"1,067",29.51607143,39.39880952,11.8,9.852380952,0.033357143
1/22/2024,"1,638",29.88928571,41.73809524,22.1,9.32202381,0.073529762
1/29/2024,"1,713",27.86964286,57.98809524,9.2,9.622619048,0.108279762
2/5/2024,"1,703",30.27083333,44.55357143,3.5,11.82559524,0.056041667
2/12/2024,"1,723",32.30357143,33.2797619,0,14.26904762,0.028785714
2/19/2024,"1,168",31.775,35.27380952,0.6,17.07321429,0.028607143
2/26/2024,769,29.81071429,49,4.1,11.08095238,0.041309524
3/4/2024,"2,078",31.93630952,38.80952381,1.9,14.7577381,0.025619048
3/11/2024,419,32.78869048,30.60714286,0,21.3047619,0.028553571
3/18/2024,344,32.95535714,33.69642857,1.7,18.23928571,0.028071429
3/25/2024,269,28.90416667,61.21428571,25.3,12.15119048,0.087005952
4/1/2024,237,26.925,68.07142857,53.6,11.8172619,0.113315476
4/8/2024,190,28.30357143,65.05357143,24.1,10.33630952,0.056142857
4/15/2024,158,30.4625,49.14285714,14.9,11.67083333,0.035
4/22/2024,797,26.26488095,76.91071429,57.6,9.491666667,0.129208333
4/29/2024,"1,679",26.75238095,72.70833333,30.4,8.495833333,0.112869048
5/6/2024,"2,183",29.17321429,57.38690476,3.5,12.9577381,0.02927381
5/13/2024,"3,843",31.26488095,42.17261905,3.3,11.29583333,0.025369048
5/20/2024,"4,653",28.56964286,59.98809524,11.6,9.855357143,0.050583333
5/27/2024,"4,638",31.4952381,39.60119048,0.1,11.78690476,0.025488095
6/3/2024,"3,203",30.58809524,45.83928571,2,10.16130952,0.029577381
6/10/2024,"3,730",28.80416667,47.18452381,1.1,10.56845238,0.048732143
6/17/2024,"2,848",30.33511905,37.33333333,0,13.74047619,0.022136905
6/24/2024,"1,965",30.18392857,35.45833333,0.2,14.01488095,0.019821429
7/1/2024,"1,923",30.15535714,38.55357143,1.2,12.84345238,0.017678571
7/8/2024,"2,070",29.74583333,43.95238095,1,9.74047619,0.017255952
7/15/2024,"1,272",26.69583333,64.95238095,19.3,8.835714286,0.063202381
7/22/2024,762,25.39166667,74.0297619,44.1,8.326190476,0.108488095
7/29/2024,"1,190",25.91071429,67.94047619,51.7,8.97202381,0.120375
