periodname,MOH 505 Rev 2020_Malaria mRDT Positive,MOH 505 Rev 2020_Malaria Microscopy Positive,Combined positive
Week 2 2021-01-11 - 2021-01-17,"1,306",55,"1,361"
Week 3 2021-01-18 - 2021-01-24,972,50,"1,022"
Week 4 2021-01-25 - 2021-01-31,945,17,962
Week 5 2021-02-01 - 2021-02-07,658,46,704
Week 6 2021-02-08 - 2021-02-14,454,79,533
Week 7 2021-02-15 - 2021-02-21,268,40,308
Week 8 2021-02-22 - 2021-02-28,294,51,345
Week 9 2021-03-01 - 2021-03-07,203,34,237
Week 10 2021-03-08 - 2021-03-14,155,30,185
Week 11 2021-03-15 - 2021-03-21,158,59,217
Week 12 2021-03-22 - 2021-03-28,120,25,145
Week 13 2021-03-29 - 2021-04-04,135,52,187
Week 14 2021-04-05 - 2021-04-11,187,0,187
Week 15 2021-04-12 - 2021-04-18,110,23,133
Week 16 2021-04-19 - 2021-04-25,231,0,231
Week 17 2021-04-26 - 2021-05-02,575,17,592
Week 18 2021-05-03 - 2021-05-09,542,0,542
Week 19 2021-05-10 - 2021-05-16,413,5,418
Week 20 2021-05-17 - 2021-05-23,548,55,603
Week 21 2021-05-24 - 2021-05-30,"1,132",13,"1,145"
Week 22 2021-05-31 - 2021-06-06,"2,034",93,"2,127"
Week 23 2021-06-07 - 2021-06-13,612,164,776
Week 24 2021-06-14 - 2021-06-20,"1,488",28,"1,516"
Week 25 2021-06-21 - 2021-06-27,"1,147",21,"1,168"
Week 26 2021-06-28 - 2021-07-04,872,35,907
Week 27 2021-07-05 - 2021-07-11,691,45,736
Week 28 2021-07-12 - 2021-07-18,"1,192",134,"1,326"
Week 29 2021-07-19 - 2021-07-25,"1,391",167,"1,558"
Week 30 2021-07-26 - 2021-08-01,"2,278",198,"2,476"
Week 31 2021-08-02 - 2021-08-08,"3,868",467,"4,335"
Week 32 2021-08-09 - 2021-08-15,"4,129",70,"4,199"
Week 33 2021-08-16 - 2021-08-22,"6,113",350,"6,463"
Week 34 2021-08-23 - 2021-08-29,"4,514",262,"4,776"
Week 35 2021-08-30 - 2021-09-05,"1,912",161,"2,073"
Week 36 2021-09-06 - 2021-09-12,"2,069",139,"2,208"
Week 37 2021-09-13 - 2021-09-19,"1,443",96,"1,539"
Week 38 2021-09-20 - 2021-09-26,"1,173",131,"1,304"
Week 39 2021-09-27 - 2021-10-03,"1,616",117,"1,733"
Week 40 2021-10-04 - 2021-10-10,"1,377",53,"1,430"
Week 41 2021-10-11 - 2021-10-17,"1,765",180,"1,945"
Week 42 2021-10-18 - 2021-10-24,"1,766",153,"1,919"
Week 43 2021-10-25 - 2021-10-31,"1,963",257,"2,220"
Week 44 2021-11-01 - 2021-11-07,"1,650",117,"1,767"
Week 45 2021-11-08 - 2021-11-14,836,104,940
Week 46 2021-11-15 - 2021-11-21,551,82,633
Week 47 2021-11-22 - 2021-11-28,452,51,503
Week 48 2021-11-29 - 2021-12-05,295,32,327
Week 49 2021-12-06 - 2021-12-12,221,26,247
Week 50 2021-12-13 - 2021-12-19,215,24,239
Week 51 2021-12-20 - 2021-12-26,215,6,221
Week 52 2021-12-27 - 2022-01-02,269,38,307
Week 1 2022-01-03 - 2022-01-09,138,34,172
Week 2 2022-01-10 - 2022-01-16,116,31,147
Week 3 2022-01-17 - 2022-01-23,81,41,122
Week 4 2022-01-24 - 2022-01-30,125,18,143
Week 5 2022-01-31 - 2022-02-06,95,51,146
Week 6 2022-02-07 - 2022-02-13,113,97,210
Week 7 2022-02-14 - 2022-02-20,133,47,180
Week 8 2022-02-21 - 2022-02-27,80,71,151
Week 9 2022-02-28 - 2022-03-06,105,29,134
Week 10 2022-03-07 - 2022-03-13,90,47,137
Week 11 2022-03-14 - 2022-03-20,36,53,89
Week 12 2022-03-21 - 2022-03-27,74,29,103
Week 13 2022-03-28 - 2022-04-03,48,22,70
Week 14 2022-04-04 - 2022-04-10,11,36,47
Week 15 2022-04-11 - 2022-04-17,9,29,38
Week 16 2022-04-18 - 2022-04-24,78,5,83
Week 17 2022-04-25 - 2022-05-01,46,11,57
Week 18 2022-05-02 - 2022-05-08,13,32,45
Week 19 2022-05-09 - 2022-05-15,107,25,132
Week 20 2022-05-16 - 2022-05-22,933,70,"1,003"
Week 21 2022-05-23 - 2022-05-29,"1,583",244,"1,827"
Week 22 2022-05-30 - 2022-06-05,643,124,767
Week 23 2022-06-06 - 2022-06-12,467,118,585
Week 24 2022-06-13 - 2022-06-19,530,114,644
Week 25 2022-06-20 - 2022-06-26,820,108,928
Week 26 2022-06-27 - 2022-07-03,"1,725",106,"1,831"
Week 27 2022-07-04 - 2022-07-10,"2,059",268,"2,327"
Week 28 2022-07-11 - 2022-07-17,"1,800",125,"1,925"
Week 29 2022-07-18 - 2022-07-24,"1,144",40,"1,184"
Week 30 2022-07-25 - 2022-07-31,"1,822",167,"1,989"
Week 31 2022-08-01 - 2022-08-07,"2,118",,#VALUE!
Week 32 2022-08-08 - 2022-08-14,"1,882",85,"1,967"
Week 33 2022-08-15 - 2022-08-21,"1,990",271,"2,261"
Week 34 2022-08-22 - 2022-08-28,"3,882",156,"4,038"
Week 35 2022-08-29 - 2022-09-04,"3,841",311,"4,152"
Week 36 2022-09-05 - 2022-09-11,"3,240",371,"3,611"
Week 37 2022-09-12 - 2022-09-18,"1,579",,#VALUE!
Week 38 2022-09-19 - 2022-09-25,"2,971",305,"3,276"
Week 39 2022-09-26 - 2022-10-02,"3,483",317,"3,800"
Week 40 2022-10-03 - 2022-10-09,"2,746",278,"3,024"
Week 41 2022-10-10 - 2022-10-16,"1,849",76,"1,925"
Week 42 2022-10-17 - 2022-10-23,"1,142",47,"1,189"
Week 43 2022-10-24 - 2022-10-30,823,79,902
Week 44 2022-10-31 - 2022-11-06,549,65,614
Week 45 2022-11-07 - 2022-11-13,413,16,429
Week 46 2022-11-14 - 2022-11-20,333,35,368
Week 47 2022-11-21 - 2022-11-27,287,26,313
Week 48 2022-11-28 - 2022-12-04,231,15,246
Week 49 2022-12-05 - 2022-12-11,456,35,491
Week 50 2022-12-12 - 2022-12-18,703,92,795
Week 51 2022-12-19 - 2022-12-25,387,37,424
Week 52 2022-12-26 - 2023-01-01,455,41,496
Week 1 2023-01-02 - 2023-01-08,616,38,654
Week 2 2023-01-09 - 2023-01-15,726,57,783
Week 3 2023-01-16 - 2023-01-22,"1,073",26,"1,099"
Week 4 2023-01-23 - 2023-01-29,884,68,952
Week 5 2023-01-30 - 2023-02-05,372,14,386
Week 6 2023-02-06 - 2023-02-12,320,1,321
Week 7 2023-02-13 - 2023-02-19,172,18,190
Week 8 2023-02-20 - 2023-02-26,97,2,99
Week 9 2023-02-27 - 2023-03-05,88,19,107
Week 10 2023-03-06 - 2023-03-12,68,17,85
Week 11 2023-03-13 - 2023-03-19,76,16,92
Week 12 2023-03-20 - 2023-03-26,49,36,85
Week 13 2023-03-27 - 2023-04-02,72,26,98
Week 14 2023-04-03 - 2023-04-09,161,33,194
Week 15 2023-04-10 - 2023-04-16,"1,588",105,"1,693"
Week 16 2023-04-17 - 2023-04-23,"2,995",114,"3,109"
Week 17 2023-04-24 - 2023-04-30,"2,645",55,"2,700"
Week 18 2023-05-01 - 2023-05-07,"1,071",26,"1,097"
Week 19 2023-05-08 - 2023-05-14,862,2,864
Week 20 2023-05-15 - 2023-05-21,"2,375",5,"2,380"
Week 21 2023-05-22 - 2023-05-28,"6,953",456,"7,409"
Week 22 2023-05-29 - 2023-06-04,"6,677",84,"6,761"
Week 23 2023-06-05 - 2023-06-11,"3,120",135,"3,255"
Week 24 2023-06-12 - 2023-06-18,"1,964",195,"2,159"
Week 25 2023-06-19 - 2023-06-25,"1,769",96,"1,865"
Week 26 2023-06-26 - 2023-07-02,"1,077",,#VALUE!
Week 27 2023-07-03 - 2023-07-09,"1,416",30,"1,446"
Week 28 2023-07-10 - 2023-07-16,"1,715",104,"1,819"
Week 29 2023-07-17 - 2023-07-23,"2,198",101,"2,299"
Week 30 2023-07-24 - 2023-07-30,"2,054",21,"2,075"
Week 31 2023-07-31 - 2023-08-06,869,,#VALUE!
Week 32 2023-08-07 - 2023-08-13,701,19,720
Week 33 2023-08-14 - 2023-08-20,605,37,642
Week 34 2023-08-21 - 2023-08-27,"1,451",21,"1,472"
Week 35 2023-08-28 - 2023-09-03,"1,310",29,"1,339"
Week 36 2023-09-04 - 2023-09-10,572,29,601
Week 37 2023-09-11 - 2023-09-17,408,27,435
Week 38 2023-09-18 - 2023-09-24,314,38,352
Week 39 2023-09-25 - 2023-10-01,348,6,354
Week 40 2023-10-02 - 2023-10-08,300,21,321
Week 41 2023-10-09 - 2023-10-15,265,27,292
Week 42 2023-10-16 - 2023-10-22,128,7,135
Week 43 2023-10-23 - 2023-10-29,87,36,123
Week 44 2023-10-30 - 2023-11-05,82,6,88
Week 45 2023-11-06 - 2023-11-12,242,3,245
Week 46 2023-11-13 - 2023-11-19,"1,374",56,"1,430"
Week 47 2023-11-20 - 2023-11-26,"4,099",46,"4,145"
Week 48 2023-11-27 - 2023-12-03,"4,684",65,"4,749"
Week 49 2023-12-04 - 2023-12-10,"4,288",68,"4,356"
Week 50 2023-12-11 - 2023-12-17,"3,386",42,"3,428"
Week 51 2023-12-18 - 2023-12-24,"2,476",1,"2,477"
Week 52 2023-12-25 - 2023-12-31,"1,900",41,"1,941"
Week 1 2024-01-01 - 2024-01-07,"1,738",54,"1,792"
