Date,Malaria_Cases
2024-08-26,"7,003"
2024-09-02,"6,655"
2024-09-09,"7,099"
2024-09-16,"6,128"
2024-09-23,"3,647"
2024-09-30,"2,389"
2024-10-07,"1,533"
2024-10-14,"1,247"
2024-10-21,"1,062"
2024-10-28,914
2024-11-04,"1,438"
2024-11-11,"3,004"
2024-11-18,"2,548"
2024-11-25,"1,649"
2024-12-02,"2,257"
2024-12-09,"3,462"
2024-12-16,"6,137"
2024-12-23,"3,892"
2024-12-30,"3,661"
2025-01-06,"3,407"
2025-01-13,"2,742"
2025-01-20,"2,343"
2025-01-27,"2,041"
2025-02-03,"1,269"
2025-02-10,988
2025-02-17,782
2025-02-24,353
2025-03-03,244
2025-03-10,210
2025-03-17,242
2025-03-24,193
2025-03-31,351
2025-04-07,"1,040"
2025-04-14,"1,361"
2025-04-21,"2,275"
2025-04-28,400
2025-05-05,"1,624"
2025-05-12,"2,959"
2025-05-19,"3,320"
2025-05-26,"6,683"
2025-06-02,"6,012"
2025-06-09,"6,400"
2025-06-16,"5,454"
2025-06-23,"4,297"
2025-06-30,"6,021"
2025-07-07,"2,493"
2025-07-14,"2,792"
2025-07-21,"1,926"
2025-07-28,"2,364"
2025-08-04,"3,030"
2025-08-11,"2,999"
2025-08-18,"2,024"
2025-08-25,"2,494"
2025-09-01,"2,776"
